"mic","symbol","isin","date","open_value","high_value","low_value","last_value","change_prev_close_percentage","turnover"
"XZAG","CBX10","HRZB00ICBE11","2022-12-28",1153.01,1157.15,1145.93,1156.15,0.31,351939.13
"XZAG","CBX10","HRZB00ICBE11","2022-12-27",1151.64,1154.55,1148.98,1152.58,0.16,544721.77
"XZAG","CBX10","HRZB00ICBE11","2022-12-23",1150.28,1151.13,1145.27,1150.79,0.04,106730.27
"XZAG","CBX10","HRZB00ICBE11","2022-12-22",1152.03,1152.46,1145.48,1150.28,-0.15,482986.53
"XZAG","CBX10","HRZB00ICBE11","2022-12-21",1144.99,1152.68,1142.01,1152.03,0.63,520414.76
"XZAG","CBX10","HRZB00ICBE11","2022-12-20",1142.19,1146.83,1141.40,1144.86,0.23,188463.30
"XZAG","CBX10","HRZB00ICBE11","2022-12-19",1142.98,1142.98,1137.78,1142.23,0.16,584372.10
"XZAG","CBX10","HRZB00ICBE11","2022-12-16",1139.80,1141.35,1137.96,1140.42,0.10,417720.80
"XZAG","CBX10","HRZB00ICBE11","2022-12-15",1142.88,1143.20,1137.90,1139.32,-0.18,726921.64
"XZAG","CBX10","HRZB00ICBE11","2022-12-14",1140.42,1142.31,1137.81,1141.40,0.05,220593.85
"XZAG","CBX10","HRZB00ICBE11","2022-12-13",1141.12,1142.47,1134.83,1140.85,-0.19,206403.73
"XZAG","CBX10","HRZB00ICBE11","2022-12-12",1136.13,1143.36,1136.13,1143.05,0.57,343296.18
"XZAG","CBX10","HRZB00ICBE11","2022-12-09",1134.12,1136.56,1131.40,1136.56,0.27,212763.29
"XZAG","CBX10","HRZB00ICBE11","2022-12-08",1131.87,1135.35,1130.49,1133.49,0.13,352818.18
"XZAG","CBX10","HRZB00ICBE11","2022-12-07",1128.85,1132.01,1128.50,1132.01,0.28,350329.80
"XZAG","CBX10","HRZB00ICBE11","2022-12-06",1126.36,1129.45,1125.21,1128.85,0.22,747685.51
"XZAG","CBX10","HRZB00ICBE11","2022-12-05",1134.06,1134.61,1124.62,1126.36,-0.74,262245.86
"XZAG","CBX10","HRZB00ICBE11","2022-12-02",1127.89,1135.22,1126.32,1134.73,0.61,163940.78
"XZAG","CBX10","HRZB00ICBE11","2022-12-01",1122.04,1127.89,1120.77,1127.89,0.59,183316.24
"XZAG","CBX10","HRZB00ICBE11","2022-11-30",1126.45,1126.88,1121.29,1121.29,-0.46,183719.22
"XZAG","CBX10","HRZB00ICBE11","2022-11-29",1128.44,1128.50,1125.12,1126.45,-0.15,317857.51
"XZAG","CBX10","HRZB00ICBE11","2022-11-28",1131.62,1131.62,1125.91,1128.12,-0.31,189806.84
"XZAG","CBX10","HRZB00ICBE11","2022-11-25",1127.70,1132.38,1127.26,1131.62,0.39,273039.87
"XZAG","CBX10","HRZB00ICBE11","2022-11-24",1128.53,1129.58,1126.43,1127.27,-0.11,317968.35
"XZAG","CBX10","HRZB00ICBE11","2022-11-23",1124.58,1128.51,1122.46,1128.46,0.35,586979.34
"XZAG","CBX10","HRZB00ICBE11","2022-11-22",1122.69,1128.65,1121.37,1124.58,0.05,377036.06
"XZAG","CBX10","HRZB00ICBE11","2022-11-21",1124.64,1125.11,1122.04,1123.97,-0.10,215070.30
"XZAG","CBX10","HRZB00ICBE11","2022-11-17",1130.13,1130.13,1125.07,1125.07,-0.45,380285.62
"XZAG","CBX10","HRZB00ICBE11","2022-11-16",1128.82,1130.46,1122.54,1130.13,0.09,474236.02
"XZAG","CBX10","HRZB00ICBE11","2022-11-15",1132.33,1132.33,1122.68,1129.16,-0.28,252005.32
"XZAG","CBX10","HRZB00ICBE11","2022-11-14",1132.47,1136.69,1130.60,1132.33,-0.41,605038.21
"XZAG","CBX10","HRZB00ICBE11","2022-11-11",1139.96,1144.40,1133.96,1136.94,-0.24,477811.79
"XZAG","CBX10","HRZB00ICBE11","2022-11-10",1134.14,1139.70,1128.33,1139.70,0.56,443461.44
"XZAG","CBX10","HRZB00ICBE11","2022-11-09",1141.45,1141.45,1129.46,1133.39,-0.64,513732.71
"XZAG","CBX10","HRZB00ICBE11","2022-11-08",1122.79,1142.77,1120.03,1140.70,1.60,771112.95
"XZAG","CBX10","HRZB00ICBE11","2022-11-07",1126.14,1126.14,1119.45,1122.79,-0.30,487772.18
"XZAG","CBX10","HRZB00ICBE11","2022-11-04",1121.38,1126.14,1116.19,1126.14,0.48,556690.68
"XZAG","CBX10","HRZB00ICBE11","2022-11-03",1131.06,1131.06,1117.99,1120.74,-0.76,319449.81
"XZAG","CBX10","HRZB00ICBE11","2022-11-02",1140.58,1140.58,1129.36,1129.36,-1.01,1705009.12
"XZAG","CBX10","HRZB00ICBE11","2022-10-31",1137.67,1140.92,1136.72,1140.92,0.32,329119.00
"XZAG","CBX10","HRZB00ICBE11","2022-10-28",1146.41,1147.76,1137.25,1137.25,-0.80,742474.32
"XZAG","CBX10","HRZB00ICBE11","2022-10-27",1133.18,1148.53,1132.75,1146.44,1.17,986115.68
"XZAG","CBX10","HRZB00ICBE11","2022-10-26",1129.60,1134.33,1127.81,1133.18,0.26,913447.14
"XZAG","CBX10","HRZB00ICBE11","2022-10-25",1126.28,1130.25,1125.46,1130.25,0.33,660199.28
"XZAG","CBX10","HRZB00ICBE11","2022-10-24",1136.35,1136.35,1126.55,1126.55,-0.83,520473.86
"XZAG","CBX10","HRZB00ICBE11","2022-10-21",1142.17,1142.17,1134.75,1135.95,-0.57,367260.61
"XZAG","CBX10","HRZB00ICBE11","2022-10-20",1149.83,1149.83,1140.15,1142.51,-0.64,223706.10
"XZAG","CBX10","HRZB00ICBE11","2022-10-19",1151.35,1151.35,1145.08,1149.83,-0.13,740067.36
"XZAG","CBX10","HRZB00ICBE11","2022-10-18",1141.89,1152.18,1138.71,1151.35,0.77,381172.29
"XZAG","CBX10","HRZB00ICBE11","2022-10-17",1143.04,1144.13,1140.37,1142.53,-0.04,113708.98
"XZAG","CBX10","HRZB00ICBE11","2022-10-14",1132.59,1143.90,1132.59,1143.04,0.99,158244.29
"XZAG","CBX10","HRZB00ICBE11","2022-10-13",1136.48,1137.63,1130.95,1131.80,-0.43,637864.69
"XZAG","CBX10","HRZB00ICBE11","2022-10-12",1133.55,1139.01,1133.55,1136.70,0.28,787235.62
"XZAG","CBX10","HRZB00ICBE11","2022-10-11",1138.15,1138.96,1133.49,1133.55,-0.38,536465.92
"XZAG","CBX10","HRZB00ICBE11","2022-10-10",1144.60,1145.24,1137.93,1137.93,-0.60,359589.16
"XZAG","CBX10","HRZB00ICBE11","2022-10-07",1140.73,1148.17,1137.27,1144.75,0.30,320516.84
"XZAG","CBX10","HRZB00ICBE11","2022-10-06",1136.43,1142.36,1135.01,1141.37,0.38,192140.89
"XZAG","CBX10","HRZB00ICBE11","2022-10-05",1133.44,1137.50,1130.38,1137.08,0.36,412972.58
"XZAG","CBX10","HRZB00ICBE11","2022-10-04",1122.96,1134.82,1122.96,1133.01,0.89,402478.19
"XZAG","CBX10","HRZB00ICBE11","2022-10-03",1127.67,1127.90,1120.72,1122.96,-0.42,332261.84
"XZAG","CBX10","HRZB00ICBE11","2022-09-30",1122.76,1127.67,1120.18,1127.67,0.42,466838.03
"XZAG","CBX10","HRZB00ICBE11","2022-09-29",1132.32,1132.32,1121.12,1122.96,-0.92,690401.66
"XZAG","CBX10","HRZB00ICBE11","2022-09-28",1142.84,1142.84,1131.20,1133.35,-0.87,696133.39
"XZAG","CBX10","HRZB00ICBE11","2022-09-27",1153.86,1154.59,1139.65,1143.24,-0.94,1262311.01
"XZAG","CBX10","HRZB00ICBE11","2022-09-26",1170.28,1170.28,1154.13,1154.13,-1.37,720568.61
"XZAG","CBX10","HRZB00ICBE11","2022-09-23",1175.27,1175.41,1166.31,1170.21,-0.36,613318.32
"XZAG","CBX10","HRZB00ICBE11","2022-09-22",1171.63,1174.67,1170.06,1174.42,0.26,461931.89
"XZAG","CBX10","HRZB00ICBE11","2022-09-21",1178.17,1178.17,1170.77,1171.41,-0.47,456846.93
"XZAG","CBX10","HRZB00ICBE11","2022-09-20",1181.51,1182.33,1173.98,1176.89,-0.32,887943.37
"XZAG","CBX10","HRZB00ICBE11","2022-09-19",1183.12,1183.12,1175.53,1180.65,-0.10,268999.84
"XZAG","CBX10","HRZB00ICBE11","2022-09-16",1182.01,1182.01,1173.62,1181.83,-0.13,701871.87
"XZAG","CBX10","HRZB00ICBE11","2022-09-15",1182.40,1184.49,1178.50,1183.32,0.10,337277.66
"XZAG","CBX10","HRZB00ICBE11","2022-09-14",1187.43,1187.94,1179.77,1182.13,-0.43,352907.88
"XZAG","CBX10","HRZB00ICBE11","2022-09-13",1188.93,1189.47,1184.43,1187.20,-0.15,415743.06
"XZAG","CBX10","HRZB00ICBE11","2022-09-12",1184.89,1188.93,1183.16,1188.93,0.34,317668.43
"XZAG","CBX10","HRZB00ICBE11","2022-09-09",1185.62,1185.62,1181.03,1184.89,0.00,282544.30
"XZAG","CBX10","HRZB00ICBE11","2022-09-08",1183.56,1186.51,1183.23,1184.89,0.00,201082.65
"XZAG","CBX10","HRZB00ICBE11","2022-09-07",1184.17,1186.05,1182.08,1184.87,0.06,472701.84
"XZAG","CBX10","HRZB00ICBE11","2022-09-06",1183.95,1186.21,1182.16,1184.17,0.02,126820.07
"XZAG","CBX10","HRZB00ICBE11","2022-09-05",1190.09,1191.63,1183.58,1183.95,-0.59,393172.96
"XZAG","CBX10","HRZB00ICBE11","2022-09-02",1191.52,1193.71,1188.05,1190.94,-0.05,289596.46
"XZAG","CBX10","HRZB00ICBE11","2022-09-01",1198.44,1199.97,1189.69,1191.52,-0.57,1133700.62
"XZAG","CBX10","HRZB00ICBE11","2022-08-31",1198.27,1198.30,1192.62,1198.30,0.13,239725.58
"XZAG","CBX10","HRZB00ICBE11","2022-08-30",1203.18,1203.18,1196.70,1196.70,-0.54,192417.27
"XZAG","CBX10","HRZB00ICBE11","2022-08-29",1208.65,1208.86,1196.78,1203.18,-0.51,265504.67
"XZAG","CBX10","HRZB00ICBE11","2022-08-26",1197.28,1209.31,1195.63,1209.31,0.99,254138.75
"XZAG","CBX10","HRZB00ICBE11","2022-08-25",1200.05,1200.97,1196.11,1197.48,-0.32,568339.72
"XZAG","CBX10","HRZB00ICBE11","2022-08-24",1199.07,1201.32,1196.94,1201.32,0.19,291997.15
"XZAG","CBX10","HRZB00ICBE11","2022-08-23",1204.92,1205.58,1198.87,1199.07,-0.49,479253.30
"XZAG","CBX10","HRZB00ICBE11","2022-08-22",1203.20,1205.11,1197.40,1204.92,0.25,525018.66
"XZAG","CBX10","HRZB00ICBE11","2022-08-19",1203.66,1203.70,1198.95,1201.95,-0.03,417776.92
"XZAG","CBX10","HRZB00ICBE11","2022-08-18",1201.08,1207.30,1200.32,1202.35,0.27,223802.71
"XZAG","CBX10","HRZB00ICBE11","2022-08-17",1198.08,1205.41,1197.68,1199.11,0.03,520351.82
"XZAG","CBX10","HRZB00ICBE11","2022-08-16",1196.64,1201.82,1194.18,1198.73,0.17,1111347.39
"XZAG","CBX10","HRZB00ICBE11","2022-08-12",1189.73,1197.04,1189.73,1196.71,0.59,499757.53
"XZAG","CBX10","HRZB00ICBE11","2022-08-11",1186.34,1193.06,1186.34,1189.73,0.43,345691.54
"XZAG","CBX10","HRZB00ICBE11","2022-08-10",1184.14,1187.35,1183.07,1184.64,-0.01,381807.94
"XZAG","CBX10","HRZB00ICBE11","2022-08-09",1174.28,1184.80,1173.63,1184.80,0.91,242245.74
"XZAG","CBX10","HRZB00ICBE11","2022-08-08",1170.92,1175.86,1168.69,1174.14,0.30,511947.57
"XZAG","CBX10","HRZB00ICBE11","2022-08-04",1171.19,1172.64,1170.43,1170.67,0.02,141770.52
"XZAG","CBX10","HRZB00ICBE11","2022-08-03",1167.47,1170.73,1164.32,1170.45,0.36,202811.02
"XZAG","CBX10","HRZB00ICBE11","2022-08-02",1169.81,1170.93,1161.14,1166.24,-0.41,676134.89
"XZAG","CBX10","HRZB00ICBE11","2022-08-01",1169.33,1171.57,1168.51,1171.08,0.15,264384.59
"XZAG","CBX10","HRZB00ICBE11","2022-07-29",1176.32,1178.07,1168.09,1169.33,-0.59,508529.07
"XZAG","CBX10","HRZB00ICBE11","2022-07-28",1175.13,1180.09,1171.44,1176.32,0.15,351289.53
"XZAG","CBX10","HRZB00ICBE11","2022-07-27",1172.15,1178.42,1171.94,1174.52,0.27,565098.45
"XZAG","CBX10","HRZB00ICBE11","2022-07-26",1166.73,1172.17,1165.65,1171.30,0.45,192188.03
"XZAG","CBX10","HRZB00ICBE11","2022-07-25",1168.28,1168.28,1162.47,1166.07,-0.19,411119.37
"XZAG","CBX10","HRZB00ICBE11","2022-07-22",1157.36,1168.28,1156.21,1168.28,0.94,334526.46
"XZAG","CBX10","HRZB00ICBE11","2022-07-21",1156.53,1160.12,1151.82,1157.36,0.07,451684.16
"XZAG","CBX10","HRZB00ICBE11","2022-07-20",1150.50,1157.46,1150.49,1156.56,0.66,190074.05
"XZAG","CBX10","HRZB00ICBE11","2022-07-19",1152.18,1155.77,1148.81,1149.03,-0.28,232230.51
"XZAG","CBX10","HRZB00ICBE11","2022-07-18",1146.95,1152.71,1145.75,1152.29,0.47,259487.86
"XZAG","CBX10","HRZB00ICBE11","2022-07-15",1149.33,1151.64,1146.95,1146.95,-0.13,288480.34
"XZAG","CBX10","HRZB00ICBE11","2022-07-14",1155.26,1156.31,1148.41,1148.41,-0.59,456074.40
"XZAG","CBX10","HRZB00ICBE11","2022-07-13",1172.25,1172.25,1155.26,1155.26,-1.45,448587.03
"XZAG","CBX10","HRZB00ICBE11","2022-07-12",1179.46,1181.05,1169.40,1172.25,-0.63,325498.27
"XZAG","CBX10","HRZB00ICBE11","2022-07-11",1172.17,1180.68,1172.17,1179.73,0.64,282377.12
"XZAG","CBX10","HRZB00ICBE11","2022-07-08",1179.02,1180.67,1172.17,1172.17,-0.56,306151.53
"XZAG","CBX10","HRZB00ICBE11","2022-07-07",1184.85,1186.26,1175.28,1178.79,-0.51,230274.99
"XZAG","CBX10","HRZB00ICBE11","2022-07-06",1187.91,1187.91,1177.31,1184.85,-0.30,433405.30
"XZAG","CBX10","HRZB00ICBE11","2022-07-05",1186.77,1189.52,1183.10,1188.39,0.19,398561.66
"XZAG","CBX10","HRZB00ICBE11","2022-07-04",1190.34,1190.34,1183.46,1186.10,-0.41,281607.39
"XZAG","CBX10","HRZB00ICBE11","2022-07-01",1191.46,1192.22,1186.93,1190.96,-0.11,318450.71
"XZAG","CBX10","HRZB00ICBE11","2022-06-30",1206.43,1206.43,1189.89,1192.25,-1.23,446277.87
"XZAG","CBX10","HRZB00ICBE11","2022-06-29",1203.36,1207.08,1198.05,1207.04,0.31,416622.84
"XZAG","CBX10","HRZB00ICBE11","2022-06-28",1203.83,1206.97,1200.96,1203.36,-0.16,218372.39
"XZAG","CBX10","HRZB00ICBE11","2022-06-27",1194.27,1210.04,1194.27,1205.32,0.94,567487.78
"XZAG","CBX10","HRZB00ICBE11","2022-06-24",1183.52,1197.57,1183.52,1194.14,0.90,797265.70
"XZAG","CBX10","HRZB00ICBE11","2022-06-23",1193.50,1193.50,1183.52,1183.52,-0.87,463372.92
"XZAG","CBX10","HRZB00ICBE11","2022-06-21",1187.19,1193.91,1185.26,1193.91,0.57,510799.68
"XZAG","CBX10","HRZB00ICBE11","2022-06-20",1190.41,1191.54,1183.57,1187.19,-0.23,723168.39
"XZAG","CBX10","HRZB00ICBE11","2022-06-17",1205.70,1205.70,1188.60,1189.98,-1.38,912498.39
"XZAG","CBX10","HRZB00ICBE11","2022-06-15",1207.97,1211.43,1202.81,1206.65,-0.11,347013.55
"XZAG","CBX10","HRZB00ICBE11","2022-06-14",1219.62,1219.62,1207.47,1207.97,-1.18,683164.35
"XZAG","CBX10","HRZB00ICBE11","2022-06-13",1241.33,1241.33,1218.12,1222.38,-1.58,917570.54
"XZAG","CBX10","HRZB00ICBE11","2022-06-10",1242.96,1244.87,1240.63,1241.96,-0.08,435008.69
"XZAG","CBX10","HRZB00ICBE11","2022-06-09",1241.97,1245.89,1240.02,1242.96,0.05,323483.11
"XZAG","CBX10","HRZB00ICBE11","2022-06-08",1239.84,1242.38,1237.99,1242.38,0.20,257115.79
"XZAG","CBX10","HRZB00ICBE11","2022-06-07",1245.18,1245.18,1239.84,1239.84,-0.43,286729.11
"XZAG","CBX10","HRZB00ICBE11","2022-06-06",1241.94,1245.62,1240.12,1245.18,0.26,255241.08
"XZAG","CBX10","HRZB00ICBE11","2022-06-03",1242.72,1247.53,1241.94,1241.94,-0.06,685946.58
"XZAG","CBX10","HRZB00ICBE11","2022-06-02",1236.76,1242.72,1236.76,1242.72,0.48,783849.80
"XZAG","CBX10","HRZB00ICBE11","2022-06-01",1237.30,1241.44,1234.96,1236.76,-0.01,1019556.23
"XZAG","CBX10","HRZB00ICBE11","2022-05-31",1244.44,1246.95,1236.29,1236.86,-0.61,756383.17
"XZAG","CBX10","HRZB00ICBE11","2022-05-27",1243.34,1247.16,1243.06,1244.44,0.09,520723.09
"XZAG","CBX10","HRZB00ICBE11","2022-05-26",1242.22,1244.78,1240.65,1243.30,-0.15,293189.62
"XZAG","CBX10","HRZB00ICBE11","2022-05-25",1240.89,1246.99,1239.94,1245.18,0.24,764142.37
"XZAG","CBX10","HRZB00ICBE11","2022-05-24",1245.61,1245.89,1240.31,1242.23,-0.27,352318.55
"XZAG","CBX10","HRZB00ICBE11","2022-05-23",1240.57,1248.87,1239.85,1245.61,0.39,354284.39
"XZAG","CBX10","HRZB00ICBE11","2022-05-20",1236.44,1243.09,1236.44,1240.79,0.37,229732.76
"XZAG","CBX10","HRZB00ICBE11","2022-05-19",1236.13,1236.79,1233.38,1236.16,0.01,287153.61
"XZAG","CBX10","HRZB00ICBE11","2022-05-18",1240.38,1244.13,1236.06,1236.06,-0.35,498094.92
"XZAG","CBX10","HRZB00ICBE11","2022-05-17",1238.10,1243.74,1238.10,1240.38,0.18,693774.19
"XZAG","CBX10","HRZB00ICBE11","2022-05-16",1240.77,1240.77,1235.75,1238.10,-0.25,311952.01
