"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","1,157.53","1,157.53","1,157.53","1,157.53","","-0.45%"
"12/29/2022","1,162.74","1,162.74","1,162.74","1,162.74","","2.20%"
"12/28/2022","1,137.71","1,137.71","1,137.71","1,137.71","","-1.89%"
"12/27/2022","1,159.66","1,159.66","1,159.66","1,159.66","","-0.09%"
"12/23/2022","1,160.68","1,160.68","1,160.68","1,160.68","","0.66%"
"12/22/2022","1,153.05","1,153.05","1,153.05","1,153.05","","-1.23%"
"12/21/2022","1,167.39","1,167.39","1,167.39","1,167.39","","1.55%"
"12/20/2022","1,149.57","1,149.57","1,149.57","1,149.57","","0.32%"
"12/19/2022","1,145.85","1,145.85","1,145.85","1,145.85","","-0.75%"
"12/16/2022","1,154.54","1,154.54","1,154.54","1,154.54","","-0.90%"
"12/15/2022","1,165.04","1,165.04","1,165.04","1,165.04","","-2.39%"
"12/14/2022","1,193.59","1,193.59","1,193.59","1,193.59","","-0.81%"
"12/13/2022","1,203.31","1,203.31","1,203.31","1,203.31","","0.35%"
"12/12/2022","1,199.08","1,199.08","1,199.08","1,199.08","","1.05%"
"12/09/2022","1,186.62","1,186.62","1,186.62","1,186.62","","-1.07%"
"12/08/2022","1,199.41","1,199.41","1,199.41","1,199.41","","0.46%"
"12/07/2022","1,193.87","1,193.87","1,193.87","1,193.87","","-0.47%"
"12/06/2022","1,199.54","1,199.54","1,199.54","1,199.54","","-0.94%"
"12/05/2022","1,210.87","1,210.87","1,210.87","1,210.87","","-2.77%"
"12/02/2022","1,245.36","1,245.36","1,245.36","1,245.36","","0.40%"
"12/01/2022","1,240.42","1,240.42","1,240.42","1,240.42","","-0.24%"
"11/30/2022","1,243.42","1,243.42","1,243.42","1,243.42","","2.45%"
"11/29/2022","1,213.64","1,213.64","1,213.64","1,213.64","","0.40%"
"11/28/2022","1,208.83","1,208.83","1,208.83","1,208.83","","-1.92%"
"11/25/2022","1,232.44","1,232.44","1,232.44","1,232.44","","0.21%"
