Date;Value
2005-01-03;623.59
2005-01-04;625.86
2005-01-05;617.68
2005-01-06;624.09
2005-01-07;622.88
2005-01-10;634.82
2005-01-11;633.32
2005-01-12;639.59
2005-01-13;640.23
2005-01-14;651.57
2005-01-17;664.98
2005-01-18;670.7
2005-01-19;679.82
2005-01-20;684.99
2005-01-21;686.64
2005-01-24;680.44
2005-01-25;685.9
2005-01-26;681.32
2005-01-27;684.9
2005-01-28;694.06
2005-01-31;714.87
2005-02-01;688.11
2005-02-02;676.44
2005-02-03;670.81
2005-02-04;682.27
2005-02-07;692.34
2005-02-08;697.26
2005-02-09;714.52
2005-02-10;724.69
2005-02-11;743.89
2005-02-14;759.17
2005-02-15;782.11
2005-02-16;790.46
2005-02-17;792.38
2005-02-18;810.95
2005-02-21;820.7
2005-02-22;843.28
2005-02-23;887.5
2005-02-24;919.69
2005-02-25;932.44
2005-02-28;907.58
2005-03-01;876.94
2005-03-02;882.35
2005-03-07;887.53
2005-03-08;901.33
2005-03-09;904.43
2005-03-10;901.07
2005-03-11;895.68
2005-03-12;901.67
2005-03-14;884.78
2005-03-15;868.87
2005-03-16;864.14
2005-03-17;853.53
2005-03-18;858.25
2005-03-21;849.63
2005-03-22;820.43
2005-03-23;825.88
2005-03-24;844.4
2005-03-25;857.84
2005-03-28;857.47
2005-03-29;848.75
2005-03-30;842.36
2005-03-31;840.01
2005-04-01;839.09
2005-04-04;835.28
2005-04-05;844.38
2005-04-06;842.94
2005-04-07;838.94
2005-04-08;831.06
2005-04-11;818.06
2005-04-12;802.66
2005-04-13;800.34
2005-04-14;802.24
2005-04-15;817.03
2005-04-18;812.29
2005-04-19;797.03
2005-04-20;794.1
2005-04-21;789.25
2005-04-22;785.6
2005-04-25;789.3
2005-04-26;775.08
2005-04-27;769.89
2005-04-28;771.6
2005-04-29;783.17
2005-05-03;785.93
2005-05-04;789.85
2005-05-05;790.45
2005-05-09;793.94
2005-05-10;789.26
2005-05-11;793.35
2005-05-12;809.43
2005-05-13;819.91
2005-05-16;810.93
2005-05-17;807.42
2005-05-18;811.13
2005-05-19;814.86
2005-05-20;810.35
2005-05-25;810.23
2005-05-26;795.18
2005-05-27;795.67
2005-05-28;796.1
2005-05-30;791.11
2005-05-31;788.67
2005-06-01;778.38
2005-06-02;782.3
2005-06-03;782.59
2005-06-06;790.62
2005-06-07;759.72
2005-06-08;778.51
2005-06-09;773.21
2005-06-10;778.75
2005-06-13;770.08
2005-06-14;782.93
2005-06-15;763.06
2005-06-16;744
2005-06-17;740.67
2005-06-20;722.55
2005-06-21;717.55
2005-06-22;708.3
2005-06-23;701.25
2005-06-24;703.76
2005-06-27;726.26
2005-06-28;715.34
2005-06-29;726.09
2005-06-30;732.96
2005-07-01;727.16
2005-07-04;729.11
2005-07-05;727.33
2005-07-06;727.4
2005-07-07;726.21
2005-07-08;736.16
2005-07-11;740.76
2005-07-12;749.82
2005-07-13;749.48
2005-07-14;748.27
2005-07-15;751.91
2005-07-18;756.94
2005-07-19;755.35
2005-07-20;759.86
2005-07-21;767.77
2005-07-22;774.84
2005-07-25;774.4
2005-07-26;775.08
2005-07-27;778.97
2005-07-28;779.69
2005-07-29;779.83
2005-08-01;788.22
2005-08-02;785.5
2005-08-03;798.41
2005-08-04;804.43
2005-08-05;812.78
2005-08-08;818.2
2005-08-09;817.92
2005-08-10;819.89
2005-08-11;814.99
2005-08-12;817.57
2005-08-15;820
2005-08-16;824.24
2005-08-17;825.35
2005-08-18;829.01
2005-08-19;830.54
2005-08-22;825.88
2005-08-23;820.66
2005-08-24;823.56
2005-08-25;822.03
2005-08-26;819.46
2005-08-29;821.4
2005-08-30;815.77
2005-08-31;824.74
2005-09-01;823.24
2005-09-02;821.7
2005-09-07;827.16
2005-09-08;828.53
2005-09-09;829.05
2005-09-10;834.02
2005-09-12;834.8
2005-09-13;841.46
2005-09-14;854.08
2005-09-15;866.91
2005-09-16;872.73
2005-09-17;875.89
2005-09-19;886.24
2005-09-20;887.52
2005-09-21;886.73
2005-09-26;880.27
2005-09-27;885.93
2005-09-28;901.2
2005-09-29;902.94
2005-09-30;898.38
2005-10-03;895.59
2005-10-04;882.53
2005-10-05;880.43
2005-10-06;882.6
2005-10-07;881.28
2005-10-10;881.98
2005-10-11;881.71
2005-10-12;877.27
2005-10-13;870
2005-10-14;866.27
2005-10-17;855.25
2005-10-18;868.6
2005-10-19;860.51
2005-10-20;850.51
2005-10-21;845.61
2005-10-24;836.71
2005-10-25;850.28
2005-10-26;825.81
2005-10-27;808.87
2005-10-28;819.13
2005-10-31;831.11
2005-11-01;839.07
2005-11-02;836.95
2005-11-03;848.23
2005-11-04;851.75
2005-11-07;852.18
2005-11-08;849.99
2005-11-09;850.18
2005-11-10;844.64
2005-11-11;845.56
2005-11-14;845.95
2005-11-15;839.3
2005-11-16;841.96
2005-11-17;839.81
2005-11-18;835.86
2005-11-21;833.89
2005-11-22;837.3
2005-11-23;842.76
2005-11-24;837.54
2005-11-25;836.15
2005-11-28;835.41
2005-11-29;833.09
2005-11-30;829.43
2005-12-01;822.98
2005-12-02;820.58
2005-12-05;820.44
2005-12-06;819.24
2005-12-07;818.87
2005-12-08;818.87
2005-12-09;817.27
2005-12-12;815.57
2005-12-13;812.78
2005-12-14;801.41
2005-12-15;801.24
2005-12-16;799.78
2005-12-19;821.72
2005-12-20;809.57
2005-12-21;816.92
2005-12-22;814.32
2005-12-23;813.03
2005-12-27;813.75
2005-12-28;825.53
2006-01-03;822.97
2006-01-04;831.42
2006-01-05;833.93
2006-01-06;833.39
2006-01-09;832.96
