date;Value;% Change;Open;High;Low;Turnover;
29.12.2022;824,61;1,64;810,89;825,99;810,89;3.313.288;
28.12.2022;811,27;0,19;809,00;812,78;809,00;12.492.962;
27.12.2022;809,77;0,03;808,33;810,77;807,93;3.558.688;
26.12.2022;809,51;0,10;809,00;814,85;808,07;3.612.215;
23.12.2022;808,73;-0,31;809,18;809,18;807,93;3.624.792;
22.12.2022;811,25;0,29;809,05;812,82;809,05;1.502.787;
21.12.2022;808,92;0,00;808,95;810,38;808,29;1.398.621;
20.12.2022;808,95;-0,15;808,95;809,21;808,42;2.315.244;
19.12.2022;810,14;0,10;809,08;810,14;808,82;5.235.698;
16.12.2022;809,33;-0,28;810,78;811,58;808,10;1.915.738;
15.12.2022;811,58;0,12;809,79;811,58;809,40;7.697.885;
14.12.2022;810,59;0,04;809,21;810,65;806,56;1.715.597;
13.12.2022;810,28;0,14;807,89;810,54;807,89;2.982.847;
12.12.2022;809,16;-0,29;811,54;811,80;808,27;3.995.265;
09.12.2022;811,54;-0,50;811,32;812,92;811,27;1.028.305;
08.12.2022;815,60;0,12;810,49;817,86;810,49;18.747.530;
07.12.2022;814,66;0,37;809,56;815,09;809,42;5.100.417;
06.12.2022;811,69;0,17;809,67;811,69;806,48;3.574.384;
05.12.2022;810,29;-0,45;811,71;812,62;808,63;3.142.369;
02.12.2022;813,97;0,13;811,58;814,51;811,58;5.847.919;
01.12.2022;812,91;-0,36;813,97;816,36;810,79;8.661.939;
30.11.2022;815,83;0,11;813,24;816,49;810,12;12.214.577;
29.11.2022;814,97;0,12;815,03;815,56;813,84;132.276.254;
28.11.2022;813,97;-0,31;814,12;816,51;813,97;5.872.206;
25.11.2022;816,51;0,56;814,46;816,57;809,29;4.188.300;
24.11.2022;811,95;0,60;804,73;812,84;802,32;8.445.939;
23.11.2022;807,14;0,07;806,79;808,93;805,09;10.115.026;
22.11.2022;806,57;0,39;802,75;806,79;802,75;3.723.105;
21.11.2022;803,41;-0,43;805,56;806,61;801,26;24.689.191;
18.11.2022;806,89;-0,25;798,91;809,91;798,91;1.235.947;
17.11.2022;808,93;0,09;798,08;813,02;797,81;4.556.161;
16.11.2022;808,22;0,97;800,20;812,67;795,98;4.062.850;
15.11.2022;800,46;1,41;779,33;808,05;779,33;5.104.180;
14.11.2022;789,32;1,19;778,67;789,32;778,67;8.668.351;
10.11.2022;780,00;-1,71;779,83;794,96;775,14;13.803.805;
09.11.2022;793,61;0,90;788,42;799,55;785,88;53.305.622;
